,weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,message,rain.1h,snow.1h
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1620917154.0,28800.0,1680312.0,Umiray,200,121.4111,15.2206,79.93,79.93,79.93,79.93,1011.0,82.0,1011.0,1011.0,7.14,56.0,9.04,26.0,PH,1620854784.0,1620900907.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917154.0,25200.0,1214026.0,Sabang,200,95.3214,5.8933,84.83,93.06,84.83,84.83,1008.0,72.0,1008.0,1005.0,5.17,322.0,5.26,100.0,ID,1620861825.0,1620906390.0,,,,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1620917154.0,32400.0,2013392.0,Vilyuysk,200,121.6247,63.7553,39.65,37.63,39.65,39.65,1013.0,43.0,1013.0,1000.0,3.29,198.0,3.33,47.0,RU,1620845390.0,1620910199.0,,,,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1620917155.0,-10800.0,3443061.0,Chui,200,-53.4616,-33.6971,62.31,60.26,62.31,62.31,1022.0,43.0,1022.0,1019.0,10.16,278.0,14.32,43.0,UY,1620901046.0,1620938585.0,,,,,
0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,7753.0,1620917155.0,-10800.0,3393922.0,Nísia Floresta,200,-35.2086,-6.0911,78.78,78.78,75.97,78.78,1013.0,97.0,1013.0,1011.0,8.28,150.0,18.9,100.0,BR,1620894113.0,1620936756.0,1.0,8417.0,,1.33,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917147.0,39600.0,2122574.0,Ola,200,151.2833,59.5833,32.47,27.84,32.47,32.47,1014.0,83.0,1014.0,1013.0,4.76,198.0,5.75,100.0,RU,1620926582.0,1620987571.0,,,,,
0,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1620917155.0,-7200.0,3424607.0,Tasiilaq,200,-37.6368,65.6145,32.92,26.76,32.92,32.92,1028.0,76.0,1028.0,1023.0,6.76,76.0,8.59,36.0,GL,1620882258.0,1620949776.0,1.0,81.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917156.0,18000.0,576980.0,Berëzovka,200,57.3064,57.6069,73.67,72.86,73.67,73.67,1025.0,45.0,1025.0,1009.0,3.15,156.0,3.56,10.0,RU,1620863578.0,1620922884.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917156.0,28800.0,1704800.0,Maan,200,124.7356,5.9339,80.71,86.68,80.71,80.71,1009.0,85.0,1009.0,1007.0,2.24,4.0,2.89,89.0,PH,1620854762.0,1620899333.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,6437.0,1620917156.0,-25200.0,5354943.0,Half Moon Bay,200,-122.4286,37.4636,52.52,51.89,46.65,58.03,1020.0,94.0,,,5.75,190.0,,90.0,US,1620910923.0,1620961812.0,2.0,2037640.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620917156.0,-14400.0,6137462.0,Saint-Augustin,200,-58.6502,51.226,49.75,43.93,49.75,49.75,1006.0,52.0,1006.0,1006.0,16.71,342.0,20.54,100.0,CA,1620893191.0,1620948931.0,,,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1620917157.0,0.0,2629833.0,Husavik,200,-17.3389,66.0449,42.78,39.47,42.78,42.78,1024.0,55.0,1024.0,1023.0,5.39,66.0,5.57,100.0,IS,1620877057.0,1620945235.0,1.0,83.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917157.0,7200.0,370481.0,Merowe,200,31.8167,18.4833,102.56,96.22,102.56,102.56,1006.0,5.0,1006.0,978.0,12.1,343.0,12.84,0.0,SD,1620875992.0,1620922705.0,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917157.0,7200.0,3358670.0,Arandis,200,14.9667,-22.4167,86.18,82.8,86.18,86.18,1012.0,15.0,1012.0,949.0,10.94,241.0,8.05,0.0,NA,1620883459.0,1620923326.0,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917157.0,-25200.0,5321473.0,Winslow,200,-110.6974,35.0242,92.25,87.87,92.25,92.25,1024.0,13.0,,,9.22,110.0,,1.0,US,1620908431.0,1620958673.0,1.0,4534.0,,,
0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1620917050.0,18000.0,1282256.0,Hithadhoo,200,73.0833,-0.6,82.11,88.05,82.11,82.11,1008.0,76.0,1008.0,1008.0,10.94,188.0,11.18,100.0,MV,1620867682.0,1620911207.0,,,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620917158.0,7200.0,1006984.0,East London,200,27.9116,-33.0153,74.34,74.48,74.34,74.34,1014.0,64.0,,,8.05,240.0,,0.0,ZA,1620881429.0,1620919143.0,1.0,1912.0,,,
0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1620916951.0,-10800.0,3836873.0,San Miguel de Tucumán,200,-65.2226,-26.8241,73.0,72.91,73.0,73.0,1018.0,62.0,1018.0,966.0,2.13,96.0,4.03,0.0,AR,1620903135.0,1620942142.0,1.0,8248.0,,,
0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,881.0,1620917158.0,32400.0,2128975.0,Nemuro,200,145.575,43.3236,43.12,38.03,43.12,43.12,1015.0,100.0,1015.0,1012.0,8.79,204.0,12.3,100.0,JP,1620845770.0,1620898322.0,,,,1.73,
